MSZoning,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,SalePrice,Years Before Sale,Years Since Remod
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,856,Ex,Y,SBrkr,856,1710,2,Gd,8,Typ,0,2,548,Y,208500,5,5
RL,Reg,Lvl,AllPub,FR2,Gtl,Feedr,Norm,1Fam,1Story,6,Gable,CompShg,MetalSd,MetalSd,TA,TA,1262,Ex,Y,SBrkr,1262,1262,2,TA,6,Typ,1,2,460,Y,181500,31,31
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,920,Ex,Y,SBrkr,920,1786,2,Gd,6,Typ,1,2,608,Y,223500,7,6
RL,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,Wd Sdng,Wd Shng,TA,TA,756,Gd,Y,SBrkr,961,1717,1,Gd,7,Typ,1,3,642,Y,140000,91,36
RL,IR1,Lvl,AllPub,FR2,Gtl,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1145,Ex,Y,SBrkr,1145,2198,2,Gd,9,Typ,1,3,836,Y,250000,8,8
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,VinylSd,VinylSd,TA,TA,796,Ex,Y,SBrkr,796,1362,1,TA,5,Typ,0,2,480,Y,143000,16,14
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1686,Ex,Y,SBrkr,1694,1694,2,Gd,7,Typ,1,2,636,Y,307000,3,2
RL,IR1,Lvl,AllPub,Corner,Gtl,PosN,Norm,1Fam,2Story,7,Gable,CompShg,HdBoard,HdBoard,TA,TA,1107,Ex,Y,SBrkr,1107,2090,2,TA,7,Typ,2,2,484,Y,200000,36,36
RM,Reg,Lvl,AllPub,Inside,Gtl,Artery,Norm,1Fam,1.5Fin,7,Gable,CompShg,BrkFace,Wd Shng,TA,TA,952,Gd,Y,FuseF,1022,1774,2,TA,8,Min1,2,2,468,Y,129900,77,58
RL,Reg,Lvl,AllPub,Corner,Gtl,Artery,Artery,2fmCon,1.5Unf,5,Gable,CompShg,MetalSd,MetalSd,TA,TA,991,Ex,Y,SBrkr,1077,1077,1,TA,5,Typ,2,1,205,Y,118000,69,58
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Hip,CompShg,HdBoard,HdBoard,TA,TA,1040,Ex,Y,SBrkr,1040,1040,1,TA,5,Typ,0,1,384,Y,129500,43,43
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,9,Hip,CompShg,WdShing,Wd Shng,Ex,TA,1175,Ex,Y,SBrkr,1182,2324,3,Ex,11,Typ,2,3,736,Y,345000,1,0
RL,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Hip,CompShg,HdBoard,Plywood,TA,TA,912,TA,Y,SBrkr,912,912,1,TA,4,Typ,0,1,352,Y,144000,46,46
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1494,Ex,Y,SBrkr,1494,1494,2,Gd,7,Typ,1,3,840,Y,279500,1,0
RL,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,6,Hip,CompShg,MetalSd,MetalSd,TA,TA,1253,TA,Y,SBrkr,1253,1253,1,TA,5,Typ,1,1,352,Y,157000,48,48
RM,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1.5Unf,7,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,832,Ex,Y,FuseA,854,854,1,TA,5,Typ,0,2,576,Y,132000,78,6
RL,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,6,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,1004,Ex,Y,SBrkr,1004,1004,1,TA,5,Typ,1,2,480,Y,149000,40,40
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,1Story,4,Gable,CompShg,MetalSd,MetalSd,TA,TA,0,TA,Y,SBrkr,1296,1296,2,TA,6,Typ,0,2,516,Y,90000,39,39
RL,Reg,Lvl,AllPub,Inside,Gtl,RRAe,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,TA,TA,1114,Ex,Y,SBrkr,1114,1114,1,Gd,6,Typ,0,2,576,Y,159000,4,4
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Hip,CompShg,BrkFace,Plywood,TA,TA,1029,TA,Y,SBrkr,1339,1339,1,TA,6,Min1,0,1,294,Y,139000,51,44
RL,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1158,Ex,Y,SBrkr,1158,2376,3,Gd,9,Typ,1,3,853,Y,325300,1,0
RM,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Unf,7,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,637,Ex,Y,FuseF,1108,1108,1,Gd,6,Typ,1,1,280,N,139400,77,57
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,8,Hip,CompShg,VinylSd,VinylSd,Gd,TA,1777,Ex,Y,SBrkr,1795,1795,2,Gd,7,Typ,1,2,534,Y,230000,6,6
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,5,Gable,CompShg,CemntBd,CmentBd,TA,TA,1040,TA,Y,SBrkr,1060,1060,1,TA,6,Typ,1,2,572,Y,129900,31,31
