,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
G,1,-0.52,-0.5,-0.19,-0.11,-0.42,0.78,0.53,0.52,-0.16,-0.15,-0.08,-0.44,0.33,0.39,-0.46,-0.08,0.2,0.57,0.76
H,-0.52,1,0.99,0.57,0.85,0.98,-0.77,-0.3,-1,-0.41,0.69,0.72,0.78,-0.6,-0.68,-0.07,0.22,0.58,0.06,-0.64
I,-0.5,0.99,1,0.66,0.87,0.99,-0.74,-0.23,-0.99,-0.36,0.74,0.78,0.76,-0.61,-0.67,-0.03,0.29,0.61,0.09,-0.63
J,-0.19,0.57,0.66,1,0.71,0.68,-0.23,0.46,-0.57,0.01,0.88,0.87,0.38,-0.48,-0.38,0.12,0.77,0.71,0.45,-0.33
K,-0.11,0.85,0.87,0.71,1,0.92,-0.34,0.13,-0.85,-0.52,0.8,0.89,0.62,-0.48,-0.54,-0.35,0.33,0.92,0.52,-0.22
L,-0.42,0.98,0.99,0.68,0.92,1,-0.67,-0.12,-0.98,-0.42,0.8,0.83,0.75,-0.62,-0.69,-0.12,0.36,0.71,0.24,-0.56
M,0.78,-0.77,-0.74,-0.23,-0.34,-0.67,1,0.62,0.77,0.18,-0.33,-0.27,-0.6,0.59,0.61,-0.23,-0.07,0.02,0.44,0.91
N,0.53,-0.3,-0.23,0.46,0.13,-0.12,0.62,1,0.3,0.15,0.45,0.42,-0.32,0.02,0.14,-0.11,0.71,0.48,0.82,0.45
O,0.52,-1,-0.99,-0.57,-0.85,-0.98,0.77,0.3,1,0.41,-0.69,-0.72,-0.78,0.6,0.68,0.07,-0.22,-0.58,-0.06,0.64
P,-0.16,-0.41,-0.36,0.01,-0.52,-0.42,0.18,0.15,0.41,1,-0.13,-0.29,-0.03,0.34,0.5,0.9,0.26,-0.49,-0.37,0.04
Q,-0.15,0.69,0.74,0.88,0.8,0.8,-0.33,0.45,-0.69,-0.13,1,0.96,0.51,-0.55,-0.53,0.01,0.8,0.79,0.57,-0.37
R,-0.08,0.72,0.78,0.87,0.89,0.83,-0.27,0.42,-0.72,-0.29,0.96,1,0.46,-0.57,-0.56,-0.17,0.68,0.89,0.63,-0.27
S,-0.44,0.78,0.76,0.38,0.62,0.75,-0.6,-0.32,-0.78,-0.03,0.51,0.46,1,-0.1,-0.21,0.26,0.15,0.36,-0.05,-0.4
T,0.33,-0.6,-0.61,-0.48,-0.48,-0.62,0.59,0.02,0.6,0.34,-0.55,-0.57,-0.1,1,0.86,0.1,-0.38,-0.35,-0.11,0.66
U,0.39,-0.68,-0.67,-0.38,-0.54,-0.69,0.61,0.14,0.68,0.5,-0.53,-0.56,-0.21,0.86,1,0.23,-0.24,-0.39,-0.14,0.67
V,-0.46,-0.07,-0.03,0.12,-0.35,-0.12,-0.23,-0.11,0.07,0.9,0.01,-0.17,0.26,0.1,0.23,1,0.29,-0.48,-0.54,-0.35
W,-0.08,0.22,0.29,0.77,0.33,0.36,-0.07,0.71,-0.22,0.26,0.8,0.68,0.15,-0.38,-0.24,0.29,1,0.44,0.51,-0.24
X,0.2,0.58,0.61,0.71,0.92,0.71,0.02,0.48,-0.58,-0.49,0.79,0.89,0.36,-0.35,-0.39,-0.48,0.44,1,0.8,0.09
Y,0.57,0.06,0.09,0.45,0.52,0.24,0.44,0.82,-0.06,-0.37,0.57,0.63,-0.05,-0.11,-0.14,-0.54,0.51,0.8,1,0.42
Z,0.76,-0.64,-0.63,-0.33,-0.22,-0.56,0.91,0.45,0.64,0.04,-0.37,-0.27,-0.4,0.66,0.67,-0.35,-0.24,0.09,0.42,1
