OverallQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SalePrice
7,856,856,1710,2,8,0,2,548,208500
6,1262,1262,1262,2,6,1,2,460,181500
7,920,920,1786,2,6,1,2,608,223500
7,756,961,1717,1,7,1,3,642,140000
8,1145,1145,2198,2,9,1,3,836,250000
5,796,796,1362,1,5,0,2,480,143000
8,1686,1694,1694,2,7,1,2,636,307000
7,1107,1107,2090,2,7,2,2,484,200000
7,952,1022,1774,2,8,2,2,468,129900
5,991,1077,1077,1,5,2,1,205,118000
5,1040,1040,1040,1,5,0,1,384,129500
9,1175,1182,2324,3,11,2,3,736,345000
5,912,912,912,1,4,0,1,352,144000
7,1494,1494,1494,2,7,1,3,840,279500
6,1253,1253,1253,1,5,1,1,352,157000
7,832,854,854,1,5,0,2,576,132000
6,1004,1004,1004,1,5,1,2,480,149000
4,0,1296,1296,2,6,0,2,516,90000
5,1114,1114,1114,1,6,0,2,576,159000
5,1029,1339,1339,1,6,0,1,294,139000
8,1158,1158,2376,3,9,1,3,853,325300
7,637,1108,1108,1,6,1,1,280,139400
8,1777,1795,1795,2,7,1,2,534,230000
5,1040,1060,1060,1,6,1,2,572,129900
5,1060,1060,1060,1,6,1,1,270,154000
8,1566,1600,1600,2,7,1,3,890,256300
5,900,900,900,1,5,0,2,576,134800
8,1704,1704,1704,2,7,1,3,772,306000
5,1484,1600,1600,1,6,2,1,319,207500
4,520,520,520,1,4,0,1,240,68500
4,649,649,1317,1,6,0,1,250,40000
5,1228,1228,1228,1,6,0,1,271,149350
8,1234,1234,1234,2,7,0,2,484,179900
5,1398,1700,1700,1,6,1,2,447,165500
9,1561,1561,1561,2,6,1,2,556,277500
8,1117,1132,2452,3,9,1,3,691,309000
5,1097,1097,1097,1,6,0,2,672,145000
5,1297,1297,1297,1,5,1,2,498,153000
5,1057,1057,1057,1,5,0,1,246,109000
4,0,1152,1152,2,6,0,0,0,82000
6,1088,1324,1324,2,6,1,2,440,160000
5,1350,1328,1328,1,5,2,1,308,170000
5,840,884,884,1,5,0,2,504,144000
5,938,938,938,1,5,0,1,308,130250
5,1150,1150,1150,1,6,0,1,300,141000
9,1752,1752,1752,2,6,1,2,576,319900
7,1434,1518,2149,1,6,1,2,670,239686
8,1656,1656,1656,2,7,0,3,826,249700
4,736,736,1452,2,8,0,0,0,113000
5,955,955,955,1,6,0,1,386,127000
6,794,794,1470,2,6,0,2,388,177000
6,816,816,1176,1,6,1,2,528,114500
5,816,816,816,1,5,0,2,516,110000
9,1842,1842,1842,0,5,1,3,894,385000
5,384,1360,1360,1,6,1,2,572,130000
6,1425,1425,1425,2,7,1,2,576,180500
8,970,983,1739,2,7,0,2,480,172500
7,860,860,1720,2,7,0,2,565,196500
10,1410,1426,2945,3,10,1,3,641,438780
5,780,780,780,1,4,0,1,352,124900
6,1158,1158,1158,1,5,0,2,576,158000
5,530,581,1111,1,6,0,1,288,101000
8,1370,1370,1370,2,6,1,2,484,202500
7,576,902,1710,2,9,0,2,480,140000
7,1057,1057,2034,2,8,0,2,645,219500
8,1143,1143,2473,2,9,1,3,852,317000
7,1947,2207,2207,2,7,1,2,576,180000
7,1453,1479,1479,2,7,0,2,558,226000
4,747,747,747,1,4,0,1,220,80000
7,1304,1304,2287,2,7,1,2,667,225000
7,2223,2223,2223,2,8,2,2,516,244000
4,845,845,845,1,4,0,2,360,129500
7,832,885,1718,2,7,1,2,427,185000
5,1086,1086,1086,1,6,0,2,490,144900
3,840,840,1605,2,8,0,1,379,107400
4,462,526,988,1,5,0,1,297,91000
4,952,952,952,1,4,0,1,283,135750
5,672,1072,1285,1,6,0,1,240,127000
4,1768,1768,1768,2,8,0,0,0,136500
5,440,682,1230,1,5,0,2,440,110000
6,896,1182,2142,2,8,1,1,509,193500
6,1237,1337,1337,2,5,0,2,405,153500
8,1563,1563,1563,2,6,1,3,758,245000
5,1065,1065,1065,1,6,0,2,461,126500
7,384,804,1474,2,7,1,2,400,168500
8,1288,1301,2417,2,9,1,2,462,260000
6,684,684,1560,2,6,1,2,400,174000
6,612,612,1224,2,4,0,2,528,164500
3,1013,1013,1526,1,6,0,0,0,85000
4,990,990,990,1,5,0,0,0,123600
4,0,1040,1040,1,4,0,2,420,109900
5,1235,1235,1235,1,6,0,2,480,98600
5,876,964,964,1,5,0,2,432,163500
6,1214,1260,2291,2,9,1,2,506,133900
6,824,905,1786,2,7,0,2,684,204750
6,680,680,1470,2,6,1,2,420,185000
7,1588,1588,1588,2,6,0,2,472,214000
4,960,960,960,1,6,0,1,432,94750
5,458,835,835,1,5,0,1,366,83000
4,950,1225,1225,1,6,0,0,0,128950
6,1610,1610,1610,2,6,2,2,480,205000
6,741,977,1732,2,7,1,2,476,178000
5,0,1535,1535,2,8,0,2,410,118964
7,1226,1226,1226,2,6,0,3,740,198900
7,1040,1226,1818,1,7,2,1,240,169500
8,1053,1053,1992,2,9,1,2,648,250000
4,641,1047,1047,1,6,0,1,273,100000
5,789,789,789,1,5,0,1,250,115000
5,793,997,1517,2,7,0,0,0,115000
6,1844,1844,1844,2,7,1,2,546,190000
