OverallQual,GrLivArea,GarageCars,TotalBsmtSF,SalePrice
7,1710,2,856,208500
6,1262,2,1262,181500
7,1786,2,920,223500
7,1717,3,756,140000
8,2198,3,1145,250000
5,1362,2,796,143000
8,1694,2,1686,307000
7,2090,2,1107,200000
7,1774,2,952,129900
5,1077,1,991,118000
5,1040,1,1040,129500
9,2324,3,1175,345000
5,912,1,912,144000
7,1494,3,1494,279500
6,1253,1,1253,157000
7,854,2,832,132000
6,1004,2,1004,149000
4,1296,2,0,90000
5,1114,2,1114,159000
5,1339,1,1029,139000
8,2376,3,1158,325300
7,1108,1,637,139400
8,1795,2,1777,230000
5,1060,2,1040,129900
5,1060,1,1060,154000
8,1600,3,1566,256300
5,900,2,900,134800
8,1704,3,1704,306000
5,1600,1,1484,207500
4,520,1,520,68500
4,1317,1,649,40000
5,1228,1,1228,149350
8,1234,2,1234,179900
5,1700,2,1398,165500
9,1561,2,1561,277500
8,2452,3,1117,309000
5,1097,2,1097,145000
5,1297,2,1297,153000
5,1057,1,1057,109000
4,1152,0,0,82000
6,1324,2,1088,160000
5,1328,1,1350,170000
5,884,2,840,144000
5,938,1,938,130250
5,1150,1,1150,141000
9,1752,2,1752,319900
7,2149,2,1434,239686
8,1656,3,1656,249700
4,1452,0,736,113000
5,955,1,955,127000
6,1470,2,794,177000
6,1176,2,816,114500
5,816,2,816,110000
9,1842,3,1842,385000
5,1360,2,384,130000
6,1425,2,1425,180500
8,1739,2,970,172500
7,1720,2,860,196500
10,2945,3,1410,438780
5,780,1,780,124900
6,1158,2,1158,158000
5,1111,1,530,101000
8,1370,2,1370,202500
7,1710,2,576,140000
7,2034,2,1057,219500
8,2473,3,1143,317000
7,2207,2,1947,180000
7,1479,2,1453,226000
4,747,1,747,80000
7,2287,2,1304,225000
7,2223,2,2223,244000
4,845,2,845,129500
7,1718,2,832,185000
5,1086,2,1086,144900
3,1605,1,840,107400
4,988,1,462,91000
4,952,1,952,135750
5,1285,1,672,127000
4,1768,0,1768,136500
5,1230,2,440,110000
6,2142,1,896,193500
6,1337,2,1237,153500
8,1563,3,1563,245000
5,1065,2,1065,126500
7,1474,2,384,168500
8,2417,2,1288,260000
6,1560,2,684,174000
6,1224,2,612,164500
3,1526,0,1013,85000
4,990,0,990,123600
4,1040,2,0,109900
5,1235,2,1235,98600
5,964,2,876,163500
6,2291,2,1214,133900
6,1786,2,824,204750
6,1470,2,680,185000
7,1588,2,1588,214000
4,960,1,960,94750
5,835,1,458,83000
4,1225,0,950,128950
6,1610,2,1610,205000
6,1732,2,741,178000
5,1535,2,0,118964
7,1226,3,1226,198900
7,1818,1,1040,169500
8,1992,2,1053,250000
4,1047,1,641,100000
5,789,1,789,115000
5,1517,0,793,115000
6,1844,2,1844,190000
6,1855,1,994,136900
7,1430,2,384,180000
7,2696,3,1264,383970
6,2259,2,1809,217000
6,2320,1,1028,259500
6,1458,2,729,176000
5,1092,1,1092,139000
5,1125,2,1125,155000
7,3222,3,1673,320000
6,1456,2,728,163990
6,988,2,938,180000
4,1123,1,732,100000
6,1080,1,1080,136000
6,1199,2,1199,153900
6,1586,2,1362,181000
6,754,0,520,84500
6,958,2,1078,128000
5,840,0,672,87000
6,1348,2,660,155000
5,1053,2,1008,150000
7,2157,2,924,226000
6,2054,2,992,244000
5,1327,2,1063,150750
8,1296,2,1267,220000
5,1721,2,1461,180000
7,1682,2,1304,174000
5,1214,1,1214,143000
7,1959,3,1907,171000
8,1852,3,1004,230000
6,1764,2,928,231500
4,864,0,864,115000
7,1734,2,1734,260000
5,1385,2,910,166000
7,1501,2,1490,204000
5,1728,2,1728,125000
6,1709,2,970,130000
5,875,1,715,105000
7,2035,2,884,222500
7,1080,0,1080,141000
5,1344,1,896,115000
5,969,2,969,122000
8,1710,3,1710,372402
